Dalvik/1.6.0 (Linux; U; Android 4.2.2; Coolpad 7270 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GN151 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GN151 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; TCL S720 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; Lenovo A628t Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; OPPO R7 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A700YD Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; SM-G3818 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A700YD Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A700YD Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; M210 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; M210 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; LA2-S Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Coolpad 8675-A Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.3; X9000 Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Coolpad 8675-A Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8190 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; SM-G3508 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; SM-G3508 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.3; HM 1SW MIUI/JHCCNBL52.0)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ??*N9106 Build/JDQ39)
Dalvik/v3.3.113 Compatible (TVM xx; YunOS 3.0; Linux; U; Android 4.4.3 Compatible; KOPO L168 Build/KTU84M)
Dalvik/v3.3.113 Compatible (TVM xx; YunOS 3.0; Linux; U; Android 4.4.3 Compatible; KOPO L168 Build/KTU84M)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-N7100 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-N7100 Build/JZO54K)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; DEXP Ixion E2 4\x22 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT X6 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; BOBBY Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; CUBOT P9 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; BOWAY V9 Build/BOWAYBOWAY)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; BOWAY V9 Build/BOWAYBOWAY)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; W720 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; W720 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HTC One SV Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.3; Coolpad 5200S Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.1.2; HUAWEI C8815 Build/HuaweiC8815)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ZZBAO Z1 Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; ThL W6 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.3; X9007 Build/JLS36C)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; K fone OLA Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; K fone OLA Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ZTE Grand S II Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HTC One SV Build/JDQ39)
Dalvik/1.6.0 (Linux; U; Android 4.2.1; TECNO F7 Build/JOP40D)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI G610-T11 Build/HuaweiG610-T11)
Dalvik/1.6.0 (Linux; U; Android 4.2.2; HUAWEI G610-T11 Build/HuaweiG610-T11)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Z3 Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Z3 Build/KOT49H)
